name	bind	size	value	section
aw36518_i2c_driver	Local	280	0x0	.data
aw36518_regmap	Local	328	0x298	.rodata
aw36518_probe.__key	Local	1	0x0	.bss
aw36518_flash_data	Local	8	0x8	.bss
aw36518_ops	Local	64	0x3e0	.rodata
aw36518_int_ops	Local	40	0x420	.rodata
aw36518_led_ctrl_ops	Local	32	0x448	.rodata
dev_attr_reg	Local	32	0x178	.data
aw36518_cooling_ops	Local	56	0x118	.data
aw36518_flash_ops	Local	40	0x150	.data
use_count	Local	4	0x10	.bss
flash_state_to_current_limit	Local	16	0x0	.rodata.cst16
aw36518_id_table	Local	64	0x8	.rodata
aw36518_of_table	Local	400	0x48	.rodata
__UNIQUE_ID___addressable_init_module464	Local	8	0x0	.init.data
__UNIQUE_ID___addressable_cleanup_module465	Local	8	0x0	.exit.data
__UNIQUE_ID_author466	Local	30	0x0	.modinfo
__UNIQUE_ID_description467	Local	44	0x1e	.modinfo
__UNIQUE_ID_license468	Local	12	0x4a	.modinfo
aw36518_pm_ops	Local	192	0x1d8	.rodata
_note_9	Local	24	0x0	.note.Linux
_note_10	Local	24	0x18	.note.Linux
__UNIQUE_ID_vermagic333	Local	87	0x56	.modinfo
__UNIQUE_ID_name334	Local	13	0xad	.modinfo
____versions	Local	3008	0x0	__versions
__UNIQUE_ID_depends335	Local	31	0xba	.modinfo
__UNIQUE_ID_alias336	Local	18	0xd9	.modinfo
__UNIQUE_ID_alias337	Local	31	0xeb	.modinfo
__UNIQUE_ID_alias338	Local	33	0x10a	.modinfo
__this_module	Global	1088	0x0	.gnu.linkonce.this_module
__mod_i2c__aw36518_id_table_device_table	Global	64	0x8	.rodata
__mod_of__aw36518_of_table_device_table	Global	400	0x48	.rodata
